Date,Adj Close,Close,High,Low,Open,Volume
2015-12-21,62.96,64.76,65.49,64.38,65.0,459400
2015-12-22,63.36,65.17,65.2,64.42,65.07,443500
2015-12-23,63.99,65.82,65.94,65.24,65.55,313400
2015-12-24,63.79,65.61,65.92,65.44,65.84,114200
2015-12-28,64.47,66.31,66.39,65.12,65.45,303800
2015-12-29,65.1,66.96,67.54,66.57,67.04,475300
2015-12-30,64.76,66.61,67.09,66.45,66.7,309900
2015-12-31,64.09,65.92,66.92,65.31,66.26,310900
2016-01-04,62.74,64.53,64.88,63.39,64.88,845000
2016-01-05,62.67,64.46,65.4,64.11,64.57,525600
2016-01-06,61.03,62.77,63.83,62.39,63.62,505500
2016-01-07,59.27,60.96,62.29,60.75,61.63,613600
2016-01-08,58.11,59.77,61.71,59.62,61.3,675700
2016-01-11,57.84,59.49,60.45,58.98,60.02,562700
2016-01-12,58.44,60.11,60.44,59.33,59.96,521100
2016-01-13,57.18,58.81,60.69,58.66,60.53,513400
2016-01-14,58.56,60.23,60.94,59.04,59.8,929400
2016-01-15,57.05,58.68,60.42,56.66,60.42,1231500
2016-01-19,56.4,58.01,60.21,57.28,60.05,1000000
2016-01-20,55.81,57.41,58.04,55.53,57.55,1355200
2016-01-21,55.62,57.21,57.77,55.76,57.44,1152600
2016-01-22,58.29,59.96,60.13,58.13,58.15,1086900
2016-01-25,57.54,59.19,60.35,58.83,59.69,1114700
2016-01-26,58.27,59.94,60.12,58.78,59.04,638000
2016-01-27,58.07,59.73,60.57,59.37,59.68,711800
2016-01-28,57.57,59.22,60.17,58.76,60.06,668100
2016-01-29,58.88,60.56,60.65,59.17,59.53,677700
2016-02-01,58.77,60.45,60.74,59.53,60.0,982600
2016-02-02,57.1,58.73,59.95,58.31,59.95,1217300
2016-02-03,57.73,59.38,59.49,57.7,59.39,897500
2016-02-04,58.14,59.8,60.97,59.22,59.32,541000
2016-02-05,54.71,56.27,60.35,56.01,59.83,1627200
2016-02-08,52.28,53.77,55.88,52.95,55.38,2161000
2016-02-09,52.77,54.28,54.95,53.19,53.33,1412100
2016-02-10,53.33,54.85,56.52,54.41,54.81,1245900
2016-02-11,55.16,56.74,58.77,54.45,56.19,2540800
2016-02-12,55.9,57.5,58.87,57.17,58.09,1869100
2016-02-16,56.87,58.5,58.81,56.88,58.38,1177600
2016-02-17,57.18,58.81,59.55,58.43,58.9,1186300
2016-02-18,56.96,58.59,59.4,58.38,59.09,987300
2016-02-19,57.13,58.76,58.8,57.97,58.5,2485200
2016-02-22,59.37,61.07,61.43,58.76,58.76,988400
2016-02-23,59.41,61.11,62.0,60.53,60.8,742900
2016-02-24,60.89,62.63,62.77,60.01,60.45,1014800
2016-02-25,62.03,63.8,63.87,60.6,62.72,912100
2016-02-26,62.1,63.88,64.5,63.13,64.0,748800
2016-02-29,61.25,63.0,64.24,62.94,63.92,1127900
2016-03-01,63.03,64.83,64.91,63.32,63.58,1140800
2016-03-02,62.84,64.64,64.98,64.05,64.59,674000
2016-03-03,63.04,64.84,64.98,64.22,64.57,695300
2016-03-04,62.16,63.94,65.0,63.84,64.83,836800
2016-03-07,61.73,63.49,63.96,62.98,63.59,913100
2016-03-08,61.2,62.95,63.36,62.43,63.08,972300
2016-03-09,61.56,63.32,63.68,62.87,63.43,479000
2016-03-10,61.35,63.1,64.11,62.63,63.55,579400
2016-03-11,61.98,63.75,63.96,63.35,63.78,440100
2016-03-14,62.5,64.17,64.47,63.23,63.23,569500
2016-03-15,61.99,63.64,64.15,63.41,63.66,463000
2016-03-16,62.1,63.76,64.1,63.03,63.34,486900
2016-03-17,62.7,64.37,64.52,63.15,63.63,596200
2016-03-18,62.88,64.56,65.36,64.49,64.68,865700
2016-03-21,62.82,64.49,64.74,63.97,64.26,701500
2016-03-22,62.55,64.22,64.46,63.95,64.16,536600
2016-03-23,61.72,63.36,64.07,63.22,64.07,454600
2016-03-24,61.5,63.14,63.38,62.69,63.23,448100
2016-03-28,61.72,63.37,63.53,62.93,63.33,313000
2016-03-29,61.99,63.64,63.81,62.96,63.41,589800
2016-03-30,62.18,63.84,63.94,63.04,63.82,471100
2016-03-31,62.06,63.71,64.29,63.46,63.8,521100
2016-04-01,63.68,65.38,65.5,63.08,63.47,933700
2016-04-04,63.18,64.86,65.84,64.67,65.37,453800
2016-04-05,63.02,64.7,65.22,64.07,64.55,979000
2016-04-06,64.49,66.21,66.28,64.68,64.86,1072000
2016-04-07,62.31,63.97,65.99,63.77,65.99,1018900
2016-04-08,62.4,64.06,64.76,63.91,64.53,429400
2016-04-11,61.76,63.41,64.72,63.29,64.55,577400
2016-04-12,61.76,63.41,63.99,63.13,63.44,572500
2016-04-13,62.61,64.28,64.33,63.35,63.64,746400
2016-04-14,62.05,63.7,64.27,63.51,64.22,463400
2016-04-15,62.11,63.77,63.83,63.32,63.58,340100
2016-04-18,62.58,64.25,64.56,63.5,63.51,315900
2016-04-19,62.22,63.88,64.59,63.75,64.35,457700
2016-04-20,62.25,63.91,64.22,63.58,63.99,350900
2016-04-21,61.6,63.24,64.38,63.14,63.95,359500
2016-04-22,62.57,64.24,64.29,63.26,63.33,557300
2016-04-25,63.02,64.7,64.74,63.93,64.31,534200
2016-04-26,63.97,65.67,65.76,64.88,65.0,778800
2016-04-27,65.1,66.83,66.91,65.47,65.85,994100
2016-04-28,63.55,65.24,66.2,63.66,63.95,1756700
2016-04-29,63.75,65.45,65.54,64.57,65.23,958100
2016-05-02,64.77,66.5,67.12,65.34,65.49,993300
2016-05-03,63.98,65.69,66.44,65.4,66.3,822800
2016-05-04,63.76,65.46,65.61,64.83,65.37,539000
2016-05-05,63.67,65.37,65.78,64.9,65.49,769500
2016-05-06,64.3,66.01,66.05,64.8,65.37,372400
2016-05-09,64.45,66.17,66.53,65.69,65.98,441700
2016-05-10,65.2,66.94,67.02,66.27,66.58,327500
2016-05-11,64.23,65.94,67.24,65.89,66.94,283900
2016-05-12,64.41,66.13,66.43,65.55,66.29,306900
2016-05-13,64.3,66.01,66.94,65.56,66.01,542600
2016-05-16,64.62,66.34,66.67,65.68,66.08,476100
2016-05-17,65.1,66.83,67.11,65.97,66.43,1042100
2016-05-18,65.44,67.18,67.45,66.22,66.73,720400
2016-05-19,65.47,67.21,67.41,66.47,66.68,1227900
2016-05-20,65.61,67.36,68.61,67.27,67.69,583100
2016-05-23,65.47,67.22,67.4,66.84,67.39,447400
2016-05-24,66.35,68.12,68.45,67.07,67.7,504500
2016-05-25,66.19,67.95,68.46,67.44,68.45,824900
2016-05-26,65.97,67.73,68.33,67.69,67.95,329900
2016-05-27,66.22,67.99,68.49,67.72,67.76,425500
2016-05-31,65.88,67.64,68.35,67.35,68.07,563700
2016-06-01,66.42,68.19,68.26,67.03,67.48,638100
2016-06-02,66.36,68.13,68.18,67.51,68.03,575400
2016-06-03,66.13,67.89,68.11,67.34,67.86,333500
2016-06-06,66.14,67.9,68.18,67.47,68.14,447700
2016-06-07,65.99,67.75,68.17,67.42,67.93,596600
2016-06-08,67.22,69.01,69.1,67.5,67.69,715400
2016-06-09,67.19,68.98,69.1,68.31,68.67,441900
2016-06-10,66.15,67.91,69.05,67.59,68.96,589100
2016-06-13,65.85,67.49,68.16,67.23,67.52,664700
2016-06-14,65.99,67.63,67.69,66.9,67.44,557100
2016-06-15,66.51,68.16,68.42,67.86,68.0,701500
2016-06-16,66.55,68.2,68.36,67.44,67.7,703900
2016-06-17,66.05,67.69,68.52,67.66,68.34,511300
2016-06-20,67.28,68.95,69.14,68.17,68.17,351200
2016-06-21,67.35,69.02,69.25,68.55,68.94,587500
2016-06-22,67.17,68.84,69.69,68.82,68.9,484800
2016-06-23,67.57,69.25,69.44,68.91,69.25,419700
2016-06-24,64.13,65.72,67.93,65.66,66.86,1093700
2016-06-27,62.47,64.02,65.21,63.45,65.06,1188000
2016-06-28,64.8,66.41,66.51,64.2,64.43,857600
2016-06-29,66.36,68.01,68.45,66.77,66.84,961500
2016-06-30,67.75,69.43,69.46,68.05,68.07,578300
2016-07-01,67.13,68.8,69.57,68.28,69.3,775000
2016-07-05,66.36,68.01,68.54,67.52,68.36,455800
2016-07-06,66.61,68.26,68.62,67.46,67.93,980800
2016-07-07,66.98,68.64,68.99,68.07,68.49,333100
2016-07-08,68.05,69.74,69.95,69.02,69.14,386400
2016-07-11,68.24,69.93,70.63,69.84,70.0,501800
2016-07-12,68.82,70.53,70.77,70.1,70.23,427700
2016-07-13,68.73,70.44,71.01,70.21,71.01,331600
2016-07-14,69.29,71.01,71.42,70.85,71.07,462500
2016-07-15,69.62,71.35,71.56,70.88,71.21,363000
2016-07-18,69.22,70.94,71.5,70.75,71.35,291400
2016-07-19,70.1,71.84,71.92,70.75,70.84,802400
2016-07-20,70.19,71.93,72.2,71.47,71.92,317900
2016-07-21,69.83,71.56,71.95,71.38,71.93,255000
