Date,Adj Close,Close,High,Low,Open,Volume
2016-08-02,800.12,800.12,802.32,794.53,797.33,1996400
2016-08-03,798.92,798.92,799.54,793.02,796.47,1460300
2016-08-04,797.25,797.25,800.2,793.92,798.24,1074900
2016-08-05,806.93,806.93,807.22,797.81,800.11,1807300
2016-08-08,805.23,805.23,807.6,801.69,806.0,1221300
2016-08-09,807.48,807.48,813.33,804.06,804.49,1607700
2016-08-10,808.49,808.49,810.88,806.49,807.05,918500
2016-08-11,808.2,808.2,813.88,806.0,810.47,1281200
2016-08-12,807.05,807.05,807.19,803.64,805.09,897300
2016-08-15,805.96,805.96,811.36,804.03,807.21,929800
2016-08-16,801.19,801.19,804.26,797.0,803.5,1057900
2016-08-17,805.42,805.42,805.63,796.3,800.0,1066100
2016-08-18,802.75,802.75,808.0,801.63,805.36,864600
2016-08-19,799.65,799.65,801.23,796.88,799.79,1120800
2016-08-22,796.95,796.95,799.3,794.33,798.51,852800
2016-08-23,796.59,796.59,801.0,795.99,800.48,917500
2016-08-24,793.6,793.6,798.46,790.76,796.86,1283600
2016-08-25,791.3,791.3,794.72,787.23,792.0,1202700
2016-08-26,793.22,793.22,799.4,789.41,792.49,1248900
2016-08-29,795.82,795.82,798.52,790.32,793.05,766500
2016-08-30,791.92,791.92,798.0,789.47,792.88,1167400
2016-08-31,789.85,789.85,791.57,787.2,789.6,1071400
2016-09-01,791.4,791.4,792.89,786.33,791.98,1303500
2016-09-02,796.87,796.87,797.1,793.26,795.27,1349900
2016-09-06,808.02,808.02,810.89,795.43,798.39,1989500
2016-09-07,807.99,807.99,810.6,803.72,807.93,1145300
2016-09-08,802.84,802.84,808.42,801.01,805.22,1175200
2016-09-09,788.48,788.48,801.75,788.05,798.77,1887600
2016-09-12,798.82,798.82,800.17,783.5,784.52,1863700
2016-09-13,788.72,788.72,795.79,784.33,794.01,1809000
2016-09-14,790.46,790.46,796.33,787.53,787.53,1292100
2016-09-15,801.23,801.23,803.65,788.66,790.01,1557200
2016-09-16,797.97,797.97,799.02,793.62,799.02,2130600
2016-09-19,795.39,795.39,803.99,793.56,801.11,1146700
2016-09-20,799.78,799.78,802.75,798.26,800.0,1049200
2016-09-21,805.03,805.03,805.91,796.03,801.26,1348500
2016-09-22,815.95,815.95,819.06,807.71,810.0,1759300
2016-09-23,814.96,814.96,817.0,812.73,815.14,1411700
2016-09-26,802.65,802.65,810.08,800.45,809.82,1472700
2016-09-27,810.73,810.73,813.49,801.83,801.83,1367300
2016-09-28,810.06,810.06,810.25,802.78,804.08,1470300
2016-09-29,802.64,802.64,813.91,800.86,807.23,1350000
2016-09-30,804.06,804.06,808.09,801.5,803.6,1660200
2016-10-03,800.38,800.38,803.54,796.23,802.55,1489200
2016-10-04,802.79,802.79,806.5,799.67,805.0,1258700
2016-10-05,801.23,801.23,808.5,800.71,806.0,1213800
2016-10-06,803.08,803.08,806.95,800.51,804.08,1099900
2016-10-07,800.71,800.71,805.94,796.82,805.93,1163100
2016-10-10,814.17,814.17,817.38,802.24,803.93,1488500
2016-10-11,809.57,809.57,819.86,807.37,814.17,1721600
2016-10-12,811.77,811.77,814.5,808.55,811.96,907900
2016-10-13,804.08,804.08,806.56,798.62,806.07,1369000
2016-10-14,804.6,804.6,810.09,802.32,807.45,1111900
2016-10-17,806.84,806.84,813.49,803.83,805.99,1056400
2016-10-18,821.49,821.49,828.81,813.33,814.21,2273700
2016-10-19,826.84,826.84,829.8,822.88,822.88,1500100
2016-10-20,821.63,821.63,828.47,820.55,827.56,1393900
2016-10-21,824.06,824.06,824.29,818.31,820.0,1615800
2016-10-24,835.74,835.74,837.94,829.04,830.09,1447600
2016-10-25,828.55,828.55,838.5,825.3,838.5,1890700
2016-10-26,822.1,822.1,827.71,816.35,827.12,1794900
2016-10-27,817.35,817.35,826.58,814.61,823.01,2973500
2016-10-28,819.56,819.56,839.0,817.0,829.94,4354900
2016-10-31,809.9,809.9,822.63,808.0,822.43,2242700
2016-11-01,805.48,805.48,813.96,798.26,810.87,2355900
2016-11-02,788.42,788.42,806.76,785.0,806.76,2350700
2016-11-03,782.19,782.19,790.0,778.63,784.5,2175200
2016-11-04,781.1,781.1,788.48,771.0,771.3,1970600
2016-11-07,802.03,802.03,805.0,792.9,794.95,1992600
2016-11-08,811.98,811.98,816.04,799.62,802.03,1754700
2016-11-09,805.59,805.59,811.71,792.04,801.83,3098500
2016-11-10,780.29,780.29,810.06,768.23,810.0,5909600
2016-11-11,771.75,771.75,777.29,765.54,776.81,3592600
2016-11-14,753.22,753.22,771.78,743.59,771.76,3672000
2016-11-15,775.16,775.16,780.24,765.22,765.47,2943900
2016-11-16,779.98,779.98,783.5,766.33,770.42,1794300
2016-11-17,786.16,786.16,788.9,779.85,782.5,1533700
2016-11-18,775.97,775.97,791.29,775.35,787.17,1806300
2016-11-21,784.8,784.8,786.55,776.3,778.1,1630800
2016-11-22,785.0,785.0,793.77,783.74,788.99,1394200
2016-11-23,779.0,779.0,789.52,772.65,789.52,1310500
2016-11-25,780.23,780.23,782.9,778.19,782.61,613500
2016-11-28,785.79,785.79,799.74,778.1,778.35,2575400
2016-11-29,789.44,789.44,796.44,785.34,788.38,1562000
2016-11-30,775.88,775.88,791.51,773.15,789.1,2279100
2016-12-01,764.33,764.33,778.6,753.36,778.55,2867100
2016-12-02,764.46,764.46,770.5,759.0,761.9,1718800
2016-12-05,778.22,778.22,780.0,766.97,770.0,1688500
2016-12-06,776.18,776.18,785.28,773.32,780.19,1734100
2016-12-07,791.47,791.47,792.0,773.53,779.95,2029400
2016-12-08,795.17,795.17,799.0,787.91,792.95,1612500
2016-12-09,809.45,809.45,809.95,798.05,799.3,1904500
2016-12-12,807.9,807.9,811.35,804.53,804.82,1628600
2016-12-13,815.34,815.34,824.3,811.94,812.39,2128200
2016-12-14,817.89,817.89,824.26,812.78,815.92,1799700
2016-12-15,815.65,815.65,823.0,812.0,817.36,1769700
2016-12-16,809.84,809.84,819.2,808.12,818.31,2589100
2016-12-19,812.5,812.5,816.22,804.5,809.28,1263600
